Gene ID	GO	KO
GFH05862	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05862" target="_blank">GFH05862</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0008168" target="_blank">methyltransferase activity (GO:0008168)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00574" target="_blank">K00574</a>
GFH05864	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05864" target="_blank">GFH05864</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0035091" target="_blank">phosphatidylinositol binding (GO:0035091)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K17917" target="_blank">K17917</a>
GFH05871	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05871" target="_blank">GFH05871</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006807" target="_blank">nitrogen compound metabolic process (GO:0006807)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11206" target="_blank">K11206</a>
GFH05872	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05872" target="_blank">GFH05872</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0007010" target="_blank">cytoskeleton organization (GO:0007010)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008017" target="_blank">microtubule binding (GO:0008017)</a>	
GFH05873	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05873" target="_blank">GFH05873</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005525" target="_blank">GTP binding (GO:0005525)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003924" target="_blank">GTPase activity (GO:0003924)</a>	
GFH05877	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05877" target="_blank">GFH05877</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0003676" target="_blank">nucleic acid binding (GO:0003676)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K12837" target="_blank">K12837</a>
GFH05880	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05880" target="_blank">GFH05880</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009058" target="_blank">biosynthetic process (GO:0009058)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0030170" target="_blank">pyridoxal phosphate binding (GO:0030170)</a>	
GFH05881	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05881" target="_blank">GFH05881</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005634" target="_blank">nucleus (GO:0005634)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0034968" target="_blank">histone lysine methylation (GO:0034968)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0018024" target="_blank">histone-lysine N-methyltransferase activity (GO:0018024)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0008270" target="_blank">zinc ion binding (GO:0008270)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11420" target="_blank">K11420</a>
GFH05882	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05882" target="_blank">GFH05882</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH05890	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05890" target="_blank">GFH05890</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006418" target="_blank">tRNA aminoacylation for protein translation (GO:0006418)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004812" target="_blank">aminoacyl-tRNA ligase activity (GO:0004812)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0000166" target="_blank">nucleotide binding (GO:0000166)</a>	
GFH05891	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05891" target="_blank">GFH05891</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a>	
GFH05895	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05895" target="_blank">GFH05895</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)</a>	
GFH05898	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05898" target="_blank">GFH05898</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009507" target="_blank">chloroplast (GO:0009507)</a>	
GFH05899	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05899" target="_blank">GFH05899</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009507" target="_blank">chloroplast (GO:0009507)</a>	
GFH05900	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05900" target="_blank">GFH05900</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009507" target="_blank">chloroplast (GO:0009507)</a>	
GFH05904	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05904" target="_blank">GFH05904</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005975" target="_blank">carbohydrate metabolic process (GO:0005975)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004553" target="_blank">hydrolase activity, hydrolyzing O-glycosyl compounds (GO:0004553)</a>	
GFH05913	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05913" target="_blank">GFH05913</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016459" target="_blank">myosin complex (GO:0016459)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003774" target="_blank">motor activity (GO:0003774)</a>	
GFH05914	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05914" target="_blank">GFH05914</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016459" target="_blank">myosin complex (GO:0016459)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003774" target="_blank">motor activity (GO:0003774)</a>	
GFH05916	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05916" target="_blank">GFH05916</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>	
GFH05918	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05918" target="_blank">GFH05918</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005789" target="_blank">endoplasmic reticulum membrane (GO:0005789)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006506" target="_blank">GPI anchor biosynthetic process (GO:0006506)</a>	
GFH05921	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05921" target="_blank">GFH05921</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>	
GFH05925	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05925" target="_blank">GFH05925</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016616" target="_blank">oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor (GO:0016616)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00026" target="_blank">K00026</a>
GFH05926	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05926" target="_blank">GFH05926</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006508" target="_blank">proteolysis (GO:0006508)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004222" target="_blank">metalloendopeptidase activity (GO:0004222)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03798" target="_blank">K03798</a>
GFH05929	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05929" target="_blank">GFH05929</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016887" target="_blank">ATPase activity (GO:0016887)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a>	
GFH05932	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05932" target="_blank">GFH05932</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0030286" target="_blank">dynein complex (GO:0030286)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0007018" target="_blank">microtubule-based movement (GO:0007018)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003777" target="_blank">microtubule motor activity (GO:0003777)</a>	
GFH05936	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05936" target="_blank">GFH05936</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006260" target="_blank">DNA replication (GO:0006260)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004748" target="_blank">ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor (GO:0004748)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10807" target="_blank">K10807</a>
GFH05937	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05937" target="_blank">GFH05937</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016021" target="_blank">integral component of membrane (GO:0016021)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055085" target="_blank">transmembrane transport (GO:0055085)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0006812" target="_blank">cation transport (GO:0006812)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0015299" target="_blank">solute:proton antiporter activity (GO:0015299)</a>	
GFH05939	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05939" target="_blank">GFH05939</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>	
GFH05943	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05943" target="_blank">GFH05943</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0035556" target="_blank">intracellular signal transduction (GO:0035556)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0009190" target="_blank">cyclic nucleotide biosynthetic process (GO:0009190)</a>	
GFH05954	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05954" target="_blank">GFH05954</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005777" target="_blank">peroxisome (GO:0005777)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K13337" target="_blank">K13337</a>
GFH05961	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05961" target="_blank">GFH05961</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH05962	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05962" target="_blank">GFH05962</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH05963	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05963" target="_blank">GFH05963</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH05964	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05964" target="_blank">GFH05964</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH05966	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05966" target="_blank">GFH05966</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005737" target="_blank">cytoplasm (GO:0005737)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0120009" target="_blank">intermembrane lipid transfer (GO:0120009)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0120013" target="_blank">lipid transfer activity (GO:0120013)</a>	
GFH05969	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05969" target="_blank">GFH05969</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006468" target="_blank">protein phosphorylation (GO:0006468)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0005524" target="_blank">ATP binding (GO:0005524)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0004672" target="_blank">protein kinase activity (GO:0004672)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K20538" target="_blank">K20538</a>
GFH05970	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05970" target="_blank">GFH05970</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K10523" target="_blank">K10523</a>
GFH05982	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05982" target="_blank">GFH05982</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0046488" target="_blank">phosphatidylinositol metabolic process (GO:0046488)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016307" target="_blank">phosphatidylinositol phosphate kinase activity (GO:0016307)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K00889" target="_blank">K00889</a>
GFH05987	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05987" target="_blank">GFH05987</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0050660" target="_blank">flavin adenine dinucleotide binding (GO:0050660)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a>	
GFH05988	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05988" target="_blank">GFH05988</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006629" target="_blank">lipid metabolic process (GO:0006629)</a>	
GFH05989	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05989" target="_blank">GFH05989</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K07393" target="_blank">K07393</a>
GFH05991	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05991" target="_blank">GFH05991</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0016491" target="_blank">oxidoreductase activity (GO:0016491)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0055114" target="_blank">oxidation-reduction process (GO:0055114)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0016209" target="_blank">antioxidant activity (GO:0016209)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K11187" target="_blank">K11187</a>
GFH05992	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05992" target="_blank">GFH05992</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005515" target="_blank">protein binding (GO:0005515)</a>	
GFH05996	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05996" target="_blank">GFH05996</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0009512" target="_blank">cytochrome b6f complex (GO:0009512)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0017004" target="_blank">cytochrome complex assembly (GO:0017004)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0045158" target="_blank">electron transporter, transferring electrons within cytochrome b6/f complex of photosystem II activity (GO:0045158)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K03689" target="_blank">K03689</a>
GFH05999	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH05999" target="_blank">GFH05999</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0005200" target="_blank">structural constituent of cytoskeleton (GO:0005200)</a>	
GFH06002	<a href="https://www.ncbi.nlm.nih.gov/protein/GFH06002" target="_blank">GFH06002</a>	<a href="http://amigo.geneontology.org/amigo/term/GO:0006260" target="_blank">DNA replication (GO:0006260)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003887" target="_blank">DNA-directed DNA polymerase activity (GO:0003887)</a> <a href="http://amigo.geneontology.org/amigo/term/GO:0003677" target="_blank">DNA binding (GO:0003677)</a>	<a href="https://www.genome.jp/dbget-bin/www_bget?ko:K02335" target="_blank">K02335</a>
